,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
8370622,0.0,1.0,0.0,3.0,0.0,0.0
8371321,5.0,5.0,-1.0,1.0,2.0,4.0
8372014,1.0,1.0,0.0,2.0,0.0,0.0
837353,1.0,5.0,0.0,1.0,2.0,4.0
8378334,2.0,4.0,-1.0,4.0,2.0,3.0
837876754,1.0,1.0,0.0,2.0,0.0,0.0
83788171,1.0,1.0,0.0,2.0,0.0,0.0
8378838,5.0,0.0,-1.0,1.0,2.0,1.0
8379949,5.0,5.0,2.0,1.0,2.0,4.0
8380881,0.0,1.0,0.0,3.0,0.0,0.0
838143716,5.0,5.0,2.0,1.0,2.0,4.0
838152935,1.0,5.0,0.0,1.0,2.0,4.0
838187935,5.0,5.0,-1.0,1.0,2.0,4.0
838258,1.0,1.0,0.0,2.0,0.0,0.0
83831276,2.0,0.0,-1.0,4.0,2.0,3.0
838358904,1.0,1.0,0.0,2.0,0.0,0.0
838602586,1.0,5.0,0.0,2.0,0.0,4.0
8388142,1.0,1.0,0.0,2.0,0.0,0.0
838934481,1.0,1.0,0.0,2.0,0.0,0.0
83898551,1.0,1.0,0.0,2.0,0.0,0.0
8389897,1.0,1.0,0.0,3.0,0.0,0.0
839074363,1.0,5.0,0.0,2.0,2.0,4.0
83919605,1.0,5.0,0.0,2.0,2.0,4.0
8392098,3.0,1.0,0.0,3.0,0.0,0.0
839248,0.0,1.0,0.0,3.0,0.0,0.0
8393760,0.0,1.0,0.0,3.0,0.0,0.0
839439890,1.0,1.0,0.0,2.0,0.0,0.0
839582,1.0,5.0,0.0,2.0,0.0,4.0
8398074,1.0,1.0,0.0,2.0,0.0,0.0
839861215,1.0,5.0,0.0,2.0,0.0,4.0
839924,1.0,5.0,0.0,2.0,2.0,4.0
8399563,1.0,5.0,0.0,2.0,0.0,4.0
84003,0.0,1.0,0.0,3.0,0.0,0.0
84003583,0.0,1.0,0.0,3.0,0.0,0.0
840264,0.0,1.0,0.0,3.0,0.0,0.0
8402667,1.0,5.0,0.0,2.0,0.0,0.0
840486,4.0,1.0,0.0,3.0,0.0,0.0
840559,1.0,1.0,0.0,2.0,0.0,0.0
840601922,0.0,1.0,0.0,3.0,0.0,0.0
8406210,1.0,1.0,0.0,3.0,0.0,0.0
840636997,2.0,4.0,-1.0,4.0,2.0,3.0
84094859,1.0,1.0,0.0,3.0,0.0,0.0
8409593,0.0,1.0,0.0,3.0,0.0,0.0
8410533,1.0,1.0,0.0,2.0,0.0,0.0
841151304,2.0,0.0,-1.0,4.0,2.0,3.0
841214751,5.0,0.0,-1.0,1.0,2.0,1.0
84153,1.0,1.0,0.0,3.0,0.0,0.0
841621,1.0,1.0,0.0,2.0,0.0,0.0
8416692,1.0,1.0,0.0,2.0,0.0,0.0
841783113,2.0,0.0,-1.0,4.0,2.0,1.0
841869364,5.0,5.0,-1.0,1.0,2.0,4.0
841918605,5.0,5.0,-1.0,1.0,2.0,4.0
8419839,0.0,1.0,0.0,3.0,0.0,0.0
841993292,1.0,5.0,0.0,2.0,0.0,4.0
842175960,1.0,5.0,2.0,1.0,2.0,4.0
8426939,0.0,1.0,0.0,3.0,0.0,0.0
8431017,0.0,1.0,0.0,3.0,0.0,0.0
843191378,0.0,1.0,-1.0,3.0,0.0,0.0
843210,1.0,5.0,0.0,1.0,2.0,4.0
843341,1.0,1.0,0.0,2.0,0.0,0.0
8435716,0.0,1.0,0.0,3.0,0.0,0.0
8436810,1.0,1.0,0.0,2.0,0.0,0.0
843995313,1.0,1.0,0.0,2.0,0.0,0.0
844103,1.0,1.0,0.0,2.0,0.0,0.0
84411621,0.0,1.0,0.0,3.0,0.0,0.0
8441534,1.0,1.0,0.0,2.0,0.0,0.0
844279151,4.0,1.0,0.0,3.0,0.0,0.0
844484762,1.0,1.0,0.0,2.0,0.0,0.0
844487926,1.0,1.0,0.0,2.0,0.0,0.0
8444917,1.0,5.0,0.0,2.0,0.0,4.0
844508282,1.0,5.0,0.0,2.0,0.0,4.0
8445916,4.0,1.0,0.0,3.0,0.0,0.0
844767288,5.0,5.0,-1.0,1.0,2.0,4.0
8447945,1.0,1.0,0.0,2.0,0.0,0.0
8450012,0.0,1.0,0.0,3.0,0.0,0.0
8451485,1.0,1.0,0.0,2.0,0.0,0.0
845235394,0.0,1.0,0.0,3.0,0.0,0.0
845245594,5.0,0.0,-1.0,1.0,2.0,1.0
8456261,1.0,5.0,0.0,2.0,0.0,0.0
8456747,0.0,1.0,0.0,3.0,0.0,0.0
8456998,0.0,1.0,-1.0,3.0,0.0,0.0
8463836,1.0,1.0,0.0,3.0,0.0,0.0
846430,0.0,1.0,0.0,3.0,0.0,0.0
846639,1.0,1.0,0.0,2.0,0.0,0.0
8468576,0.0,1.0,0.0,3.0,0.0,0.0
8469572,1.0,5.0,0.0,2.0,0.0,4.0
846994672,1.0,5.0,0.0,1.0,2.0,4.0
847034205,5.0,5.0,-1.0,1.0,2.0,4.0
847139244,1.0,1.0,0.0,3.0,0.0,0.0
84714,2.0,4.0,-1.0,4.0,2.0,3.0
8472906,0.0,1.0,-1.0,3.0,3.0,5.0
8473114,1.0,1.0,0.0,2.0,0.0,0.0
847368925,1.0,1.0,0.0,2.0,0.0,0.0
847378995,1.0,1.0,0.0,2.0,0.0,0.0
8476181,1.0,1.0,0.0,2.0,0.0,0.0
84766922,2.0,4.0,-1.0,4.0,2.0,3.0
847684677,1.0,1.0,0.0,3.0,0.0,0.0
8477939,5.0,5.0,-1.0,1.0,2.0,4.0
8478023,1.0,5.0,0.0,2.0,0.0,0.0
84783496,0.0,1.0,0.0,3.0,0.0,0.0
8478797,5.0,5.0,-1.0,1.0,2.0,4.0
847967922,5.0,0.0,-1.0,1.0,2.0,1.0
848017205,1.0,5.0,0.0,2.0,2.0,4.0
848425385,0.0,1.0,-1.0,3.0,0.0,0.0
84863353,2.0,0.0,-1.0,4.0,2.0,3.0
8486522,1.0,1.0,0.0,3.0,0.0,0.0
848748496,1.0,1.0,0.0,2.0,0.0,0.0
848772537,0.0,1.0,0.0,3.0,0.0,0.0
8489836,1.0,5.0,0.0,2.0,0.0,4.0
8490595,5.0,5.0,-1.0,1.0,2.0,4.0
