,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
385799,3.0,1.0,0.0,0.0,1.0,3.0
3857992,3.0,1.0,0.0,3.0,1.0,3.0
38590418,4.0,4.0,-1.0,1.0,2.0,4.0
38593772,4.0,4.0,0.0,2.0,2.0,4.0
38595788,0.0,3.0,0.0,5.0,2.0,0.0
38597313,3.0,1.0,0.0,0.0,1.0,3.0
38599450,5.0,5.0,1.0,3.0,1.0,1.0
3860651,0.0,3.0,0.0,5.0,2.0,0.0
38606638,4.0,4.0,0.0,2.0,2.0,4.0
386080,3.0,1.0,0.0,0.0,1.0,3.0
3861317,5.0,5.0,1.0,3.0,1.0,1.0
3861727,1.0,3.0,0.0,0.0,2.0,0.0
38623119,1.0,3.0,0.0,0.0,2.0,0.0
38630175,5.0,5.0,-1.0,3.0,1.0,1.0
38648897,5.0,5.0,3.0,3.0,1.0,1.0
386528824,5.0,5.0,-1.0,3.0,1.0,1.0
3865658,3.0,1.0,0.0,0.0,1.0,3.0
38664114,1.0,3.0,0.0,0.0,2.0,0.0
38667012,4.0,4.0,-1.0,1.0,2.0,4.0
38672106,2.0,3.0,0.0,5.0,2.0,0.0
3867214,4.0,0.0,-1.0,1.0,2.0,4.0
38675942,2.0,3.0,0.0,2.0,2.0,0.0
38676924,4.0,4.0,0.0,2.0,2.0,4.0
3867981,3.0,1.0,0.0,0.0,1.0,3.0
3868420,4.0,4.0,0.0,2.0,2.0,4.0
3869457,0.0,3.0,0.0,5.0,2.0,0.0
38707785,4.0,4.0,0.0,2.0,2.0,4.0
3871206,3.0,1.0,0.0,0.0,1.0,3.0
38712947,4.0,4.0,0.0,2.0,2.0,4.0
38717807,4.0,0.0,-1.0,1.0,0.0,2.0
38735483,3.0,1.0,0.0,0.0,1.0,3.0
3874255,3.0,1.0,0.0,3.0,1.0,3.0
38755,3.0,1.0,0.0,0.0,1.0,3.0
38756945,3.0,1.0,0.0,0.0,1.0,3.0
38760041,0.0,3.0,0.0,5.0,2.0,0.0
38768030,1.0,3.0,0.0,0.0,1.0,0.0
3877,0.0,3.0,0.0,5.0,2.0,0.0
38771559,4.0,4.0,0.0,2.0,2.0,4.0
38771671,3.0,1.0,0.0,0.0,1.0,3.0
3877254,4.0,4.0,0.0,2.0,2.0,4.0
38775414,3.0,1.0,0.0,3.0,1.0,3.0
38784647,3.0,1.0,0.0,3.0,1.0,3.0
3880601,0.0,3.0,0.0,5.0,2.0,0.0
38807490,4.0,4.0,0.0,2.0,2.0,4.0
38808129,5.0,5.0,-1.0,3.0,1.0,1.0
38810244,5.0,5.0,-1.0,3.0,1.0,1.0
38817787,4.0,4.0,0.0,2.0,2.0,4.0
3882170,3.0,1.0,0.0,3.0,1.0,3.0
38821761,0.0,3.0,0.0,5.0,2.0,0.0
3882951,0.0,3.0,0.0,5.0,2.0,0.0
3883327,3.0,1.0,0.0,0.0,1.0,3.0
3883658,0.0,3.0,0.0,5.0,2.0,0.0
38837666,3.0,1.0,0.0,0.0,1.0,3.0
38838626,2.0,3.0,0.0,5.0,2.0,0.0
3885054,0.0,3.0,0.0,5.0,2.0,0.0
3885240,5.0,5.0,3.0,3.0,1.0,1.0
3885337,4.0,4.0,0.0,2.0,2.0,4.0
3885352,5.0,2.0,-1.0,4.0,3.0,5.0
38854266,3.0,1.0,0.0,0.0,1.0,3.0
38863262,4.0,4.0,0.0,2.0,2.0,4.0
3887155,5.0,5.0,-1.0,3.0,1.0,1.0
38872586,4.0,4.0,4.0,1.0,2.0,4.0
38874845,4.0,4.0,4.0,1.0,2.0,4.0
3887795,3.0,1.0,0.0,0.0,1.0,3.0
38879777,3.0,1.0,0.0,0.0,1.0,3.0
3888642,1.0,3.0,0.0,0.0,2.0,0.0
3891560,0.0,3.0,0.0,5.0,2.0,0.0
3892607,4.0,4.0,0.0,2.0,2.0,4.0
38926164,3.0,1.0,0.0,0.0,1.0,3.0
38953466,3.0,1.0,0.0,0.0,1.0,3.0
3896436,3.0,1.0,0.0,3.0,1.0,3.0
38971000,3.0,3.0,0.0,0.0,1.0,0.0
38973215,4.0,0.0,-1.0,1.0,2.0,2.0
3898443,5.0,5.0,-1.0,3.0,1.0,1.0
38986151,5.0,5.0,3.0,3.0,1.0,1.0
3899123,4.0,0.0,-1.0,1.0,2.0,2.0
38993520,1.0,3.0,0.0,0.0,1.0,0.0
3900627,2.0,3.0,0.0,5.0,2.0,0.0
39006567,5.0,5.0,-1.0,3.0,1.0,1.0
39008214,0.0,3.0,0.0,5.0,2.0,0.0
39014798,3.0,1.0,0.0,0.0,1.0,3.0
39015131,4.0,0.0,-1.0,1.0,2.0,2.0
3901727,5.0,2.0,-1.0,4.0,3.0,5.0
39021861,3.0,1.0,0.0,0.0,1.0,3.0
3902202,4.0,4.0,0.0,2.0,2.0,4.0
39022867,4.0,0.0,-1.0,1.0,0.0,2.0
3902389,4.0,4.0,0.0,2.0,2.0,4.0
39037188,4.0,4.0,0.0,2.0,2.0,4.0
3904488,4.0,0.0,-1.0,1.0,2.0,2.0
39045758,3.0,1.0,0.0,0.0,1.0,3.0
39055902,5.0,2.0,-1.0,4.0,1.0,5.0
39057672,5.0,2.0,-1.0,4.0,1.0,5.0
3906368,0.0,3.0,0.0,5.0,2.0,0.0
39064779,4.0,4.0,0.0,2.0,2.0,4.0
39065098,5.0,5.0,-1.0,3.0,1.0,1.0
39066349,4.0,4.0,0.0,2.0,2.0,4.0
39066589,4.0,4.0,0.0,2.0,2.0,4.0
3907045,0.0,3.0,0.0,5.0,2.0,0.0
3907721,4.0,4.0,0.0,2.0,2.0,4.0
3908909,0.0,3.0,0.0,5.0,2.0,0.0
3910145,4.0,4.0,0.0,2.0,2.0,4.0
3910499,0.0,3.0,0.0,5.0,2.0,0.0
39110333,1.0,3.0,0.0,0.0,1.0,0.0
3912027,3.0,3.0,0.0,0.0,1.0,0.0
39126496,3.0,1.0,0.0,0.0,1.0,3.0
3913126,0.0,3.0,0.0,0.0,2.0,0.0
