,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
3901727,0.0,0.0,0.0,0.0,3.0,0.0
39021861,1.0,0.0,0.0,0.0,3.0,0.0
3902202,0.0,2.0,-1.0,2.0,0.0,2.0
39022867,0.0,0.0,0.0,0.0,3.0,0.0
3902389,0.0,2.0,1.0,2.0,3.0,2.0
39037188,1.0,0.0,0.0,0.0,3.0,0.0
3904488,0.0,0.0,0.0,0.0,3.0,0.0
39045758,1.0,0.0,0.0,0.0,3.0,0.0
39055902,0.0,0.0,0.0,0.0,3.0,0.0
39057672,2.0,3.0,-1.0,1.0,1.0,3.0
3906368,0.0,2.0,1.0,2.0,3.0,2.0
39064779,1.0,0.0,0.0,0.0,3.0,0.0
39065098,3.0,1.0,-1.0,3.0,1.0,1.0
39066349,0.0,2.0,0.0,2.0,3.0,2.0
39066589,0.0,2.0,-1.0,2.0,0.0,2.0
3907045,1.0,0.0,0.0,0.0,3.0,0.0
3907721,0.0,2.0,0.0,0.0,3.0,0.0
3908909,1.0,0.0,0.0,0.0,3.0,0.0
3910145,0.0,0.0,0.0,0.0,3.0,0.0
3910499,0.0,2.0,-1.0,2.0,3.0,2.0
39110333,1.0,0.0,0.0,0.0,3.0,0.0
3912027,1.0,0.0,0.0,0.0,3.0,0.0
39126496,3.0,1.0,-1.0,3.0,1.0,1.0
3913126,3.0,1.0,-1.0,3.0,1.0,1.0
39144510,1.0,0.0,0.0,0.0,3.0,0.0
39148154,1.0,0.0,0.0,0.0,3.0,0.0
391497548,1.0,0.0,0.0,0.0,3.0,0.0
39158229,0.0,0.0,0.0,0.0,3.0,0.0
39164508,2.0,3.0,-1.0,1.0,1.0,3.0
39167751,2.0,3.0,-1.0,1.0,1.0,3.0
3917635,3.0,3.0,-1.0,1.0,1.0,3.0
3919062,0.0,2.0,-1.0,2.0,0.0,2.0
3920554,0.0,0.0,0.0,0.0,3.0,0.0
39210,0.0,2.0,-1.0,2.0,0.0,2.0
3921098,3.0,1.0,-1.0,3.0,1.0,1.0
3921311,0.0,2.0,-1.0,2.0,0.0,2.0
3921425,1.0,0.0,0.0,0.0,3.0,0.0
39216730,0.0,0.0,0.0,0.0,3.0,0.0
3922315,3.0,1.0,-1.0,3.0,1.0,1.0
3922766,0.0,0.0,0.0,0.0,3.0,0.0
3923659,0.0,2.0,0.0,0.0,3.0,2.0
39246576,2.0,3.0,-1.0,1.0,1.0,3.0
3925710,0.0,2.0,-1.0,2.0,0.0,2.0
3926529,0.0,0.0,0.0,0.0,3.0,0.0
39287293,1.0,0.0,0.0,0.0,3.0,0.0
39291527,0.0,0.0,0.0,0.0,3.0,0.0
39297,3.0,1.0,-1.0,3.0,1.0,1.0
3929874,1.0,1.0,0.0,0.0,3.0,0.0
3930159,0.0,0.0,0.0,0.0,3.0,0.0
39303391,1.0,0.0,0.0,0.0,3.0,0.0
39304077,3.0,3.0,-1.0,1.0,1.0,3.0
3931738,1.0,0.0,0.0,0.0,3.0,0.0
3933596,0.0,2.0,0.0,0.0,3.0,2.0
39343584,3.0,3.0,-1.0,1.0,1.0,3.0
39344931,3.0,1.0,-1.0,3.0,1.0,1.0
39347480,0.0,0.0,0.0,0.0,3.0,0.0
3934909,1.0,0.0,0.0,0.0,3.0,0.0
3936245,3.0,1.0,-1.0,3.0,1.0,1.0
393645,0.0,0.0,0.0,0.0,3.0,0.0
3936812,1.0,0.0,0.0,0.0,3.0,0.0
39377,0.0,0.0,0.0,0.0,3.0,0.0
3937730,2.0,3.0,-1.0,1.0,1.0,3.0
39380989,1.0,0.0,0.0,0.0,3.0,0.0
39386538,0.0,2.0,-1.0,2.0,0.0,2.0
393996,3.0,3.0,-1.0,1.0,1.0,3.0
3940198,1.0,0.0,0.0,0.0,3.0,0.0
39413507,2.0,3.0,-1.0,1.0,1.0,3.0
39433733,0.0,0.0,0.0,0.0,3.0,0.0
3943526,1.0,0.0,0.0,0.0,3.0,0.0
39436,1.0,0.0,0.0,0.0,3.0,0.0
3944380,1.0,0.0,0.0,0.0,3.0,0.0
3944785,1.0,0.0,0.0,0.0,3.0,0.0
3948288,0.0,2.0,1.0,2.0,3.0,2.0
394845,1.0,1.0,0.0,0.0,3.0,0.0
3948602,2.0,3.0,-1.0,1.0,1.0,3.0
3949486,1.0,0.0,0.0,0.0,3.0,0.0
39516640,1.0,0.0,0.0,0.0,3.0,0.0
39521059,0.0,0.0,0.0,0.0,3.0,0.0
39532,1.0,1.0,-1.0,3.0,3.0,1.0
3953725,0.0,2.0,0.0,0.0,3.0,2.0
3954962,0.0,0.0,0.0,0.0,3.0,0.0
3955054,0.0,2.0,-1.0,2.0,0.0,2.0
3956086,0.0,0.0,0.0,0.0,3.0,0.0
3956320,0.0,0.0,0.0,0.0,3.0,0.0
39623983,1.0,1.0,-1.0,0.0,3.0,1.0
39661195,1.0,1.0,-1.0,0.0,3.0,0.0
39683989,1.0,1.0,-1.0,3.0,1.0,1.0
39690,0.0,2.0,-1.0,2.0,0.0,2.0
39690181,0.0,0.0,0.0,0.0,3.0,0.0
39696952,1.0,0.0,0.0,0.0,3.0,0.0
3970593,1.0,0.0,0.0,0.0,3.0,0.0
3972371,0.0,2.0,-1.0,2.0,0.0,2.0
39726961,0.0,0.0,0.0,0.0,3.0,0.0
39744497,1.0,0.0,0.0,0.0,3.0,0.0
3974497,0.0,0.0,0.0,0.0,3.0,0.0
39774517,1.0,0.0,0.0,0.0,3.0,0.0
3977664,0.0,0.0,0.0,0.0,3.0,0.0
3977987,0.0,0.0,0.0,0.0,3.0,0.0
39788008,1.0,0.0,0.0,0.0,3.0,0.0
39788660,0.0,2.0,0.0,2.0,3.0,2.0
3979568,0.0,2.0,0.0,0.0,3.0,2.0
39795788,3.0,1.0,-1.0,3.0,1.0,1.0
39797277,3.0,1.0,-1.0,3.0,1.0,1.0
39808300,3.0,1.0,-1.0,3.0,1.0,1.0
39808689,2.0,3.0,-1.0,1.0,1.0,3.0
39808775,1.0,0.0,0.0,0.0,3.0,0.0
3982176,0.0,2.0,-1.0,2.0,0.0,2.0
3982624,0.0,2.0,-1.0,2.0,0.0,2.0
3983859,0.0,2.0,-1.0,2.0,3.0,2.0
3983870,1.0,0.0,0.0,0.0,3.0,0.0
39843380,0.0,2.0,0.0,0.0,3.0,0.0
39851887,1.0,0.0,0.0,0.0,3.0,0.0
39855142,0.0,2.0,1.0,2.0,3.0,2.0
3985601,0.0,2.0,-1.0,2.0,0.0,2.0
3987249,1.0,0.0,0.0,0.0,3.0,0.0
