,x,y
147,328999,3462740
148,328999,3462790
149,328999,3462840
150,328999,3462890
151,328999,3462940
152,328999,3462990
153,328999,3463040
154,328999,3463090
155,328999,3463140
156,328999,3463190
157,328999,3463240
158,328999,3463290
159,328999,3463340
160,328999,3463390
161,328999,3463440
162,329049,3462140
163,329049,3462190
164,329049,3462240
165,329049,3462290
166,329049,3462340
167,329049,3462390
168,329049,3462440
169,329049,3462490
170,329049,3462540
171,329049,3462590
172,329049,3462640
173,329049,3462690
174,329049,3462740
175,329049,3462790
176,329049,3462840
177,329049,3462890
178,329049,3462940
179,329049,3462990
180,329049,3463040
181,329049,3463090
182,329049,3463140
183,329049,3463190
184,329049,3463240
185,329049,3463290
186,329049,3463340
187,329049,3463390
188,329049,3463440
189,329099,3462140
190,329099,3462190
191,329099,3462240
192,329099,3462290
193,329099,3462340
194,329099,3462390
195,329099,3462440
196,329099,3462490
197,329099,3462540
198,329099,3462590
199,329099,3462640
200,329099,3462690
201,329099,3462740
202,329099,3462790
203,329099,3462840
204,329099,3462890
205,329099,3462940
206,329099,3462990
207,329099,3463040
208,329099,3463090
209,329099,3463140
210,329099,3463190
211,329099,3463240
212,329099,3463290
213,329099,3463340
214,329099,3463390
215,329099,3463440
216,329149,3462140
217,329149,3462190
218,329149,3462240
219,329149,3462290
220,329149,3462340
221,329149,3462390
222,329149,3462440
223,329149,3462490
224,329149,3462540
225,329149,3462590
226,329149,3462640
227,329149,3462690
228,329149,3462740
229,329149,3462790
230,329149,3462840
231,329149,3462890
232,329149,3462940
233,329149,3462990
234,329149,3463040
235,329149,3463090
236,329149,3463140
237,329149,3463190
238,329149,3463240
239,329149,3463290
240,329149,3463340
241,329149,3463390
242,329149,3463440
243,329199,3462140
244,329199,3462190
245,329199,3462240
246,329199,3462290
247,329199,3462340
248,329199,3462390
249,329199,3462440
250,329199,3462490
251,329199,3462540
252,329199,3462590
253,329199,3462640
254,329199,3462690
255,329199,3462740
256,329199,3462790
257,329199,3462840
258,329199,3462890
259,329199,3462940
260,329199,3462990
261,329199,3463040
262,329199,3463090
263,329199,3463140
264,329199,3463190
265,329199,3463240
266,329199,3463290
267,329199,3463340
268,329199,3463390
269,329199,3463440
270,329249,3462140
271,329249,3462190
272,329249,3462240
273,329249,3462290
274,329249,3462340
275,329249,3462390
276,329249,3462440
277,329249,3462490
278,329249,3462540
279,329249,3462590
280,329249,3462640
281,329249,3462690
282,329249,3462740
283,329249,3462790
284,329249,3462840
285,329249,3462890
286,329249,3462940
287,329249,3462990
288,329249,3463040
289,329249,3463090
290,329249,3463140
291,329249,3463190
292,329249,3463240
293,329249,3463290
294,329249,3463340
295,329249,3463390
296,329249,3463440
297,329299,3462140
298,329299,3462190
299,329299,3462240
300,329299,3462290
301,329299,3462340
302,329299,3462390
303,329299,3462440
304,329299,3462490
305,329299,3462540
306,329299,3462590
307,329299,3462640
308,329299,3462690
309,329299,3462740
310,329299,3462790
311,329299,3462840
312,329299,3462890
313,329299,3462940
314,329299,3462990
315,329299,3463040
316,329299,3463090
317,329299,3463140
318,329299,3463190
319,329299,3463240
320,329299,3463290
321,329299,3463340
322,329299,3463390
323,329299,3463440
324,329349,3462140
325,329349,3462190
326,329349,3462240
327,329349,3462290
328,329349,3462340
329,329349,3462390
330,329349,3462440
331,329349,3462490
332,329349,3462540
333,329349,3462590
334,329349,3462640
335,329349,3462690
336,329349,3462740
337,329349,3462790
338,329349,3462840
339,329349,3462890
340,329349,3462940
341,329349,3462990
342,329349,3463040
343,329349,3463090
344,329349,3463140
345,329349,3463190
346,329349,3463240
347,329349,3463290
348,329349,3463340
349,329349,3463390
350,329349,3463440
351,329399,3462140
352,329399,3462190
353,329399,3462240
354,329399,3462290
355,329399,3462340
356,329399,3462390
357,329399,3462440
358,329399,3462490
359,329399,3462540
360,329399,3462590
361,329399,3462640
362,329399,3462690
363,329399,3462740
364,329399,3462790
365,329399,3462840
366,329399,3462890
367,329399,3462940
368,329399,3462990
369,329399,3463040
370,329399,3463090
371,329399,3463140
372,329399,3463190
373,329399,3463240
374,329399,3463290
375,329399,3463340
376,329399,3463390
377,329399,3463440
378,329449,3462140
379,329449,3462190
380,329449,3462240
381,329449,3462290
382,329449,3462340
383,329449,3462390
384,329449,3462440
385,329449,3462490
386,329449,3462540
387,329449,3462590
388,329449,3462640
389,329449,3462690
390,329449,3462740
391,329449,3462790
392,329449,3462840
393,329449,3462890
394,329449,3462940
395,329449,3462990
396,329449,3463040
397,329449,3463090
398,329449,3463140
399,329449,3463190
400,329449,3463240
401,329449,3463290
402,329449,3463340
403,329449,3463390
404,329449,3463440
405,329499,3462140
406,329499,3462190
407,329499,3462240
408,329499,3462290
409,329499,3462340
410,329499,3462390
411,329499,3462440
412,329499,3462490
413,329499,3462540
414,329499,3462590
415,329499,3462640
416,329499,3462690
417,329499,3462740
418,329499,3462790
419,329499,3462840
420,329499,3462890
421,329499,3462940
422,329499,3462990
423,329499,3463040
424,329499,3463090
425,329499,3463140
426,329499,3463190
427,329499,3463240
428,329499,3463290
429,329499,3463340
430,329499,3463390
431,329499,3463440
432,329549,3462140
433,329549,3462190
434,329549,3462240
435,329549,3462290
436,329549,3462340
437,329549,3462390
438,329549,3462440
439,329549,3462490
440,329549,3462540
441,329549,3462590
442,329549,3462640
443,329549,3462690
444,329549,3462740
445,329549,3462790
446,329549,3462840
447,329549,3462890
448,329549,3462940
449,329549,3462990
450,329549,3463040
451,329549,3463090
452,329549,3463140
453,329549,3463190
454,329549,3463240
455,329549,3463290
456,329549,3463340
457,329549,3463390
458,329549,3463440
459,329599,3462140
460,329599,3462190
461,329599,3462240
462,329599,3462290
463,329599,3462340
464,329599,3462390
465,329599,3462440
466,329599,3462490
467,329599,3462540
468,329599,3462590
469,329599,3462640
470,329599,3462690
471,329599,3462740
472,329599,3462790
473,329599,3462840
474,329599,3462890
475,329599,3462940
476,329599,3462990
477,329599,3463040
478,329599,3463090
479,329599,3463140
480,329599,3463190
481,329599,3463240
482,329599,3463290
483,329599,3463340
484,329599,3463390
485,329599,3463440
486,329649,3462140
487,329649,3462190
488,329649,3462240
489,329649,3462290
490,329649,3462340
491,329649,3462390
492,329649,3462440
493,329649,3462490
